County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Humboldt County,23,Humboldt,USGS,403233124040801,GW,2010-07-29,15:00,PDT,15.13,NULL,NULL,NULL,USGS,m,2,S,V,A,40.54291667,-124.06975
Humboldt County,23,Humboldt,USGS,403358124063701,GW,2010-07-29,12:45,PDT,149.25,NULL,NULL,NULL,USGS,m,2,S,V,A,40.5662222,-124.1103333
Humboldt County,23,Humboldt,USGS,403416124084901,GW,2010-07-29,11:55,PDT,24.78,NULL,NULL,NULL,USGS,m,2,S,V,A,40.57125,-124.147111
Humboldt County,23,Humboldt,USGS,403614124104201,GW,2010-07-27,13:04,PDT,31.97,NULL,NULL,NULL,USGS,m,2,S,S,A,40.6041111,-124.1785
Humboldt County,23,Humboldt,USGS,404436124115701,GW,2010-07-27,10:00,PDT,NULL,NULL,NULL,N,USGS,m,NULL,S,O,A,40.7433333,-124.1993333
Humboldt County,23,Humboldt,USGS,404842124063901,GW,2010-07-28,08:35,PDT,131.38,NULL,NULL,NULL,USGS,m,2,S,V,A,40.81191667,-124.1108889
Humboldt County,23,Humboldt,USGS,404943124050502,GW,2010-07-25,15:45,PDT,NULL,NULL,NULL,O,USGS,m,NULL,S,V,A,40.8284615,-124.0858939
Humboldt County,23,Humboldt,USGS,405150123582701,GW,2010-07-27,15:00,PDT,19.85,NULL,NULL,R,USGS,m,2,S,V,A,40.86388889,-123.97425
Humboldt County,23,Humboldt,USGS,405411124052401,GW,2010-07-26,16:00,PDT,63.8,NULL,NULL,NULL,NULL,m,1,O,R,A,40.90325,-124.0901389
Humboldt County,23,Humboldt,USGS,410203124062501,GW,2010-07-27,10:45,PDT,42.55,NULL,NULL,NULL,USGS,m,2,S,V,A,41.0343611,-124.1071667
Humboldt County,23,Humboldt,USGS,410919124075701,GW,2010-07-27,09:30,PDT,96.96,NULL,NULL,R,USGS,m,2,S,V,A,41.1553333,-124.132611
